"","nestID.y","beeID.y","egglaying","joinc","feedsbrood","nectarforaging","pollenforaging","nBehavs","nestTYPE"
"50","NT05","42",0,"NT05_42",3,0,0,3,"NT"
"51","NT06","38",0,"NT06_38",2,6,0,14,"NT"
"52","NT06","67",0,"NT06_67",6,0,0,6,"NT"
"53","NT06","13",1,"NT06_13",11,0,0,12,"NT"
"54","NT10","18",1,"NT10_18",4,9,0,14,"NT"
"55","NT10","7",0,"NT10_7",2,3,0,5,"NT"
"56","NT10","6 or 9",0,"NT10_6 or 9",2,1,0,3,"NT"
"57","NT10","45",0,"NT10_45",0,1,0,1,"NT"
"58","NT11","35",0,"NT11_35",2,18,0,21,"NT"
"59","NT11","61",0,"NT11_61",1,17,0,18,"NT"
"60","NT11","71",1,"NT11_71",2,0,0,2,"NT"
