"","nestID","beeID","behav","timepoint","Caste","totCount"
"294","NT13","27","feedsbrood","late","worker",1
"295","NT13","99","nectarforaging","late","worker",3
"296","NT15","38","nectarforaging","late","worker",1
"297","NT15","51","nectarforaging","late","worker",2
"298","NT15","38","feedsbrood","late","worker",1
"299","NT16","94","feedsbrood","late","worker",2
"300","QF02","56","nectarforaging","late","worker",13
"301","QF02","75","nectarforaging","late","worker",33
"302","QF02","48","nectarforaging","late","worker",1
"303","QF02","75","pollenforaging","late","worker",9
"304","QF02","26","feedsbrood","late","worker",3
"305","QF02","13","feedsbrood","late","worker",2
"306","QF02","48","feedsbrood","late","worker",3
"307","QF02","13","nectarforaging","late","worker",5
"308","QF03","11","nectarforaging","late","worker",1
"309","QF03","76","nectarforaging","late","worker",8
"310","QF03","84","feedsbrood","late","worker",2
"311","QF03","84","nectarforaging","late","worker",1
"312","QF04","72","pollenforaging","late","worker",3
"313","QF04","72","nectarforaging","late","worker",7
"314","QF04","96","feedsbrood","late","worker",4
"315","QF04","72","feedsbrood","late","worker",4
"316","QF04","96","nectarforaging","late","worker",1
"317","QF04","60","feedsbrood","late","worker",3
"318","QF04","81","feedsbrood","late","worker",1
"319","QF06","12","feedsbrood","late","worker",4
"320","QF06","6","feedsbrood","late","worker",3
"321","QF06","35","feedsbrood","late","worker",4
"322","QF06","6","nectarforaging","late","worker",6
"323","QF06","80","incubate","late","worker",1
"324","QF06","47","broodmanipulate","late","worker",6
"325","QF06","12","broodmanipulate","late","worker",6
"326","QF06","47","feedsbrood","late","worker",7
"327","QF06","12","other","late","worker",2
"328","QF06","12","incubate","late","worker",1
"329","QF06","80","broodmanipulate","late","worker",6
"330","QF06","12","nectarforaging","late","worker",8
"331","QF06","80","offbrood","late","worker",3
"332","QF06","12","waxmanipulate","late","worker",3
"333","QF06","80","waxmanipulate","late","worker",5
"334","QF06","6","end","late","worker",3
"335","QF06","80","end","late","worker",3
"336","QF06","35","end","late","worker",3
"337","QF06","47","end","late","worker",3
"338","QF06","12","end","late","worker",3
"339","QF06","47","nectarforaging","late","worker",2
"340","QF06","35","nectarforaging","late","worker",3
"341","QF06","6","pollenforaging","late","worker",4
"342","QF06","6","broodmanipulate","late","worker",1
"343","QF06","35","broodmanipulate","late","worker",3
"344","QF06","35","offbrood","late","worker",2
"345","QF06","35","fillshoneypot","late","worker",1
"346","QF06","47","incubate","late","worker",3
"347","QF06","35","incubate","late","worker",2
"348","QF06","35","waxmanipulate","late","worker",1
"349","QF06","47","offbrood","late","worker",1
"350","QF07","72","feedsbrood","late","worker",6
"351","QF07","60","feedsbrood","late","worker",6
"352","QF07","36","pollenforaging","late","worker",8
"353","QF07","72","nectarforaging","late","worker",2
"354","QF07","23","nectarforaging","late","worker",4
"355","QF07","36","nectarforaging","late","worker",22
"356","QF07","23","pollenforaging","late","worker",2
"357","QF09","41","feedsbrood","late","worker",1
"358","QF09","31","fillshoneypot","late","worker",1
"359","QF09","51","feedsbrood","late","worker",1
"360","QF09","11","feedsbrood","late","worker",2
"361","QF11","9","nectarforaging","late","worker",2
"362","QF11","17","nectarforaging","late","worker",2
"363","QF11","65","nectarforaging","late","worker",5
"364","QF11","42","feedsbrood","late","worker",3
"365","QF11","65","pollenforaging","late","worker",2
"366","QF11","65","feedsbrood","late","worker",1
"367","QF11","9","feedsbrood","late","worker",1
"368","QF11","52","feedsbrood","late","worker",6
"369","QF11","52","nectarforaging","late","worker",5
"370","QF11","17","feedsbrood","late","worker",5
"371","QF11","52","pollenforaging","late","worker",1
"372","QF14","87","pollenforaging","late","worker",1
"373","QF14","87","fillshoneypot","late","worker",7
"374","QF14","75","feedsbrood","late","worker",1
"375","QF14","91","fillshoneypot","late","worker",1
"376","QF14","87","feedsbrood","late","worker",1
"377","QF14","91","nectarforaging","late","worker",1
"378","QF14","23","nectarforaging","late","worker",1
"379","QF15","37","feedsbrood","late","worker",1
"380","QF16","95","feedsbrood","late","worker",2
"381","QT01","92","feedsbrood","late","worker",3
"382","QT01","34","feedsbrood","late","worker",2
"383","QT02","11","feedsbrood","late","worker",4
"384","QT02","11","nectarforaging","late","worker",4
"385","QT03","2","feedsbrood","late","worker",9
"386","QT03","67","feedsbrood","late","worker",7
"387","QT03","39","feedsbrood","late","worker",7
"388","QT03","2","nectarforaging","late","worker",1
"389","QT03","67","nectarforaging","late","worker",4
"390","QT03","39","nectarforaging","late","worker",1
"391","QT08","57","feedsbrood","late","worker",10
"392","QT08","22","nectarforaging","late","worker",12
"393","QT08","22","pollenforaging","late","worker",1
"394","QT08","19","feedsbrood","late","worker",3
"395","QT08","22","feedsbrood","late","worker",2
"396","QT11","80","nectarforaging","late","worker",2
"397","QT11","71","nectarforaging","late","worker",7
"398","QT11","80","feedsbrood","late","worker",2
"399","QT11","71","feedsbrood","late","worker",1
"400","QT12","77","nectarforaging","late","worker",1
"401","QT14","17","nectarforaging","late","worker",1
"402","QT14","42","nectarforaging","late","worker",1
"403","QT14","42","feedsbrood","late","worker",1
"404","QT15","57","feedsbrood","late","worker",6
"405","QT15","66","nectarforaging","late","worker",1
"406","QT15","66","other","late","worker",1
"407","QT15","24","feedsbrood","late","worker",3
"408","QF03","59","feedsbrood","early","queen",1
"409","QF04","54","nectarforaging","early","queen",1
"410","QF06","66","feedsbrood","early","queen",3
"411","QF07","57","offbrood","early","queen",2
"412","QF07","57","incubate","early","queen",4
"413","QF07","57","broodmanipulate","early","queen",3
"414","QF07","57","end","early","queen",2
"415","QF07","57","waxmanipulate","early","queen",1
"416","QF09","90","offbrood","early","queen",1
"417","QF09","90","end","early","queen",1
"418","QF12","35","feedsbrood","early","queen",1
"419","QF12","35","broodmanipulate","early","queen",5
"420","QF12","35","incubate","early","queen",3
"421","QF12","35","offbrood","early","queen",2
"422","QF12","35","end","early","queen",1
"423","QF16","62","feedsbrood","early","queen",1
"424","QT02","85","pollenforaging","early","queen",14
"425","QT02","85","feedsbrood","early","queen",6
"426","QT02","85","nectarforaging","early","queen",25
"427","QT08","78","nectarforaging","early","queen",8
"428","QT08","78","feedsbrood","early","queen",1
"429","QT08","78","pollenforaging","early","queen",4
"430","QT11","95","laysegg","early","queen",1
"431","QF04","54","feedsbrood","late","queen",2
"432","QF04","54","nectarforaging","late","queen",1
"433","QF06","66","feedsbrood","late","queen",4
"434","QF06","66","broodmanipulate","late","queen",4
"435","QF06","66","end","late","queen",5
"436","QF06","66","incubate","late","queen",1
"437","QF06","66","offbrood","late","queen",1
"438","QF06","66","nectarforaging","late","queen",1
"439","QF06","66","pollenforaging","late","queen",1
"440","QT02","85","feedsbrood","late","queen",3
"441","QT02","85","nectarforaging","late","queen",6
"442","QT03","8","nectarforaging","late","queen",18
"443","QT03","8","pollenforaging","late","queen",6
"444","QT08","78","other","late","queen",1
"445","QT08","78","nectarforaging","late","queen",1
"446","QT08","78","feedsbrood","late","queen",1
"447","QT15","81","feedsbrood","late","queen",3
"448","NF06","61","pollenforaging","early","worker",7
"449","NF07","70","feedsbrood","early","worker",2
"450","NF07","70","pollenforaging","early","worker",1
"451","NF07","70","nectarforaging","early","worker",1
"452","QT02","51","feedsbrood","early","worker",8
"453","QT02","29","feedsbrood","early","worker",1
"454","QT02","51","pollenforaging","early","worker",1
"455","NF06","61","feedsbrood","late","worker",1
"456","NF06","61","fillshoneypot","late","worker",1
"457","NF07","70","nectarforaging","late","worker",3
"458","NF07","70","pollenforaging","late","worker",1
"459","NT10","6 or 9","nectarforaging","late","worker",1
"460","NT10","6 or 9","feedsbrood","late","worker",2
"461","QT02","51","feedsbrood","late","worker",5
"462","QT02","29","feedsbrood","late","worker",2
"463","NF01","9","egglaying","early","worker",1
