"","X","nestID","nestTYPE","beeID","caste","natal","beeType","addDate","diedDate","nectarforaging","feedsbrood","pollenforaging","egglaying","nBehavs","size","ovL1","ovL2","ovLavg","ovR1","ovR2","ovRavg","ovS1","ovS2","ovSavg","queen","nWork","nBees","lazy","allforaging","shannon","specBehav","specProp","BehavAssign","perfSpec","NF","PF","FB","EL"
"47",55,"NT06","NT","NT0613","W","VB01","orig",NA,NA,0,19,0,33,52,2.75,5.4,3.5,4.45,0,0,0,4,4,4,"queenless",3,3,"notLazy",0,0.656453523724577,"generalist",0.634615384615385,"egglaying",NA,"no","no","yes","yes"
"48",56,"NT10","NT","NT1018","W","AS1","orig",NA,NA,14,13,0,31,58,2.9,5.5,6.3,5.9,0,0,0,4,4,4,"queenless",3,3,"notLazy",9,1.0131197760524,"generalist",0.53448275862069,"egglaying",NA,"yes","no","yes","yes"
"49",57,"NT10","NT","NT107","W","AS1","orig",NA,NA,14,10,0,0,24,2.6,NA,NA,0,1,1,1,4,4,4,"queenless",3,3,"notLazy",9,0.679193265991526,"generalist",0.583333333333333,"nectarforaging",NA,"yes","no","yes","no"
"50",60,"NT11","NT","NT1135","W","R33","orig",NA,NA,21,18,0,0,39,2.8,5.8,6.5,6.15,0,0,0,3.5,4,3.75,"queenless",3,3,"notLazy",18,0.690185676018804,"generalist",0.538461538461538,"nectarforaging",NA,"yes","no","yes","no"
"51",61,"NT11","NT","NT1161","W","R33","orig",NA,NA,24,9,0,0,33,2.4,2.7,NA,2.7,0,0,0,3,2,2.5,"queenless",3,3,"notLazy",20,0.585952618303551,"nectarforaging",0.727272727272727,"nectarforaging",NA,"yes","no","yes","no"
"52",62,"NT11","NT","NT1171","W","R33","orig",NA,NA,0,18,0,46,64,2.65,6,5.3,5.65,0,0,0,3.5,3.5,3.5,"queenless",3,3,"notLazy",0,0.594130022724839,"egglaying",0.71875,"egglaying",NA,"no","no","yes","yes"
"53",64,"NT13","NT","NT1399","W","R33","orig",NA,NA,32,8,0,0,40,2.75,5.1,5.6,5.35,0,0,0,4,4,4,"queenless",3,3,"notLazy",26,0.500402423538188,"nectarforaging",0.8,"nectarforaging",NA,"yes","no","yes","no"
"54",65,"NT13","NT","NT1356","W","R33","orig",NA,NA,0,17,0,34,51,2.9,NA,NA,0,1,1,1,4,4,4,"queenless",3,3,"notLazy",0,0.636514168294813,"generalist",0.666666666666667,"egglaying",NA,"no","no","yes","yes"
"55",67,"NT15","NT","NT1538","W","R35","orig",NA,NA,1,12,0,12,25,2.6,3.5,4.5,4,0,0,0,3.5,3.5,3.5,"queenless",3,3,"notLazy",1,0.83336544107172,"generalist",0.48,"feedsbrood",NA,"yes","no","yes","yes"
"56",68,"NT15","NT","NT1551","W","R35","orig",NA,NA,8,0,0,0,8,2.8,6,5.5,5.75,0,0,0,4,4,4,"queenless",3,3,"notLazy",5,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"57",69,"NT16","NT","NT1694","W","R34","orig",NA,NA,0,7,0,0,7,2.8,NA,5.3,5.3,1,0,0.5,4,4,4,"queenless",3,3,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"58",70,"NT16","NT","NT1628","W","R34","orig",NA,NA,0,1,0,9,10,2.8,6.1,7.3,6.7,0,0,0,4,4,4,"queenless",3,3,"notLazy",0,0.325082973391448,"egglaying",0.9,"egglaying",NA,"no","no","yes","yes"
"59",71,"QF02","QF","QF0256","W","KE2","orig",NA,NA,22,0,0,0,22,3,5.1,NA,5.1,0,1,0.5,4,4,4,"queenright",5,6,"notLazy",15,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"60",72,"QF02","QF","QF0275","W","KE2","orig",NA,NA,102,0,79,0,181,2.85,4.8,3.9,4.35,1,1,1,4,4,4,"queenright",5,6,"notLazy",87,0.685051687067536,"generalist",0.56353591160221,"nectarforaging",NA,"yes","yes","no","no"
"61",73,"QF02","QF","QF0226","W","KE2","orig",NA,NA,0,52,0,0,52,2.6,NA,NA,0,0,0,0,3,2,2.5,"queenright",5,6,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"62",74,"QF02","QF","QF0213","W","KE2","orig",NA,NA,16,35,0,0,51,2.8,5.4,4.1,4.75,1,1,1,4,4,4,"queenright",5,6,"notLazy",11,0.622049128646561,"generalist",0.686274509803922,"feedsbrood",NA,"yes","no","yes","no"
"63",75,"QF02","QF","QF0248","W","KE2","orig",NA,NA,1,70,0,0,71,2.8,NA,NA,0,1,1,1,4,4,4,"queenright",5,6,"notLazy",1,0.0740225961475812,"feedsbrood",0.985915492957746,"feedsbrood",NA,"yes","no","yes","no"
"64",76,"QF03","QF","QF0376","W","KE2","orig",NA,NA,23,0,9,0,32,2.7,3.6,3.4,3.5,1,1,1,4,4,4,"queenright",5,6,"notLazy",21,0.594130022724839,"nectarforaging",0.71875,"nectarforaging",NA,"yes","yes","no","no"
"65",77,"QF03","QF","QF0384","W","KE2","orig",NA,NA,1,57,0,0,58,2.7,NA,NA,0,1,1,1,4,4,4,"queenright",5,6,"notLazy",1,0.0870995231917752,"feedsbrood",0.982758620689655,"feedsbrood",NA,"yes","no","yes","no"
"66",79,"QF03","QF","QF0311","W","KE2","orig",NA,NA,8,0,9,0,17,2.7,2.8,2.8,2.8,0,0,0,3,3,3,"queenright",5,6,"notLazy",8,0.691416077617118,"generalist",0.529411764705882,"pollenforaging",NA,"yes","yes","no","no"
"67",81,"QF04","QF","QF0454","Q","ES6","orig",NA,NA,15,12,0,0,27,3.8,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",8,0.686961576597323,"generalist",0.555555555555556,"nectarforaging",NA,"yes","no","yes","no"
"68",82,"QF04","QF","QF0472","W","KE2","orig",NA,NA,57,44,103,0,204,2.8,5.1,NA,5.1,0,1,0.5,3.5,4,3.75,"queenright",5,6,"notLazy",64,1.03216238626272,"generalist",0.504901960784314,"pollenforaging",NA,"yes","yes","yes","no"
"69",83,"QF04","QF","QF0460","W","KE2","orig",NA,NA,3,19,0,0,22,2.4,4.8,3.2,4,0,0,0,3.5,3,3.25,"queenright",5,6,"notLazy",2,0.398307113805284,"feedsbrood",0.863636363636364,"feedsbrood",NA,"yes","no","yes","no"
"70",84,"QF04","QF","QF0496","W","KE2","orig",NA,NA,21,31,0,0,52,2.7,3.2,NA,3.2,1,1,1,4,4,4,"queenright",5,6,"notLazy",11,0.674540362211592,"generalist",0.596153846153846,"feedsbrood",NA,"yes","no","yes","no"
"71",85,"QF04","QF","QF0481","W","KE2","orig",NA,NA,3,12,5,0,20,2.7,4.8,5.6,5.2,0,0,0,3.5,3.5,3.5,"queenright",5,6,"notLazy",4,0.937636962272449,"generalist",0.6,"feedsbrood",NA,"yes","yes","yes","no"
"72",86,"QF04","QF","QF0458","W","KE2","orig",NA,NA,5,0,0,0,5,2.4,4.6,NA,4.6,0,1,0.5,3.5,4,3.75,"queenright",5,6,"notLazy",3,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"73",87,"QF06","QF","QF066","W","VB01","replac",20180731,NA,21,7,42,0,70,2.7,NA,NA,0,0,0,0,1,1,1,"queenright",5,6,"notLazy",13,0.89794572485678,"generalist",0.6,"pollenforaging",NA,"yes","yes","yes","no"
"74",88,"QF06","QF","QF0647","W","VB01","orig",NA,NA,4,16,0,0,20,NA,NA,NA,0,0,0,0,1,1,1,"queenright",5,6,"notLazy",2,0.500402423538188,"feedsbrood",0.8,"feedsbrood",NA,"yes","no","yes","no"
"75",89,"QF06","QF","QF0666","Q","KE1","orig",NA,NA,2,16,10,75,103,3.3,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",2,0.823222450733324,"generalist",0.728155339805825,"egglaying",NA,"yes","yes","yes","yes"
"76",90,"QF06","QF","QF0612","W","VB01","orig",NA,NA,19,16,0,0,35,3.1,NA,NA,0,1,1,1,4,4,4,"queenright",5,6,"notLazy",8,0.68946919977516,"generalist",0.542857142857143,"nectarforaging",NA,"yes","no","yes","no"
"77",91,"QF06","QF","QF0680","W","VB01","orig",NA,NA,0,9,21,0,30,2.8,NA,NA,0,0,0,0,2,2,2,"queenright",5,6,"notLazy",2,0.610864302054894,"generalist",0.7,"pollenforaging",NA,"no","yes","yes","no"
"78",92,"QF06","QF","QF0635","W","VB01","orig",NA,NA,26,9,0,0,35,3.25,4.7,NA,4.7,0,1,0.5,3.5,4,3.75,"queenright",5,6,"notLazy",11,0.570047170501285,"nectarforaging",0.742857142857143,"nectarforaging",NA,"yes","no","yes","no"
"79",93,"QF07","QF","QF0760","W","VB01","orig",NA,NA,0,57,0,41,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",5,6,"notLazy",0,0.679759550084388,"generalist",0.581632653061224,"feedsbrood",NA,"no","no","yes","yes"
"80",94,"QF07","QF","QF0723","W","VB01","orig",NA,NA,21,9,12,27,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",5,6,"notLazy",13,1.29908523549884,"generalist",0.391304347826087,"egglaying",NA,"yes","yes","yes","yes"
