"","X","nestID","nestTYPE","beeID","caste","timepoint","feedsbrood","nectarforaging","pollenforaging","egglaying","nBehavs","allforaging"
"176",221,"QT02","QT","11","worker","late",4,4,0,0,8,4
"177",222,"QT02","QT","51","worker","late",5,0,0,0,5,0
"178",223,"QT02","QT","29","worker","late",2,0,0,0,2,0
"179",224,"QT03","QT","2","worker","late",9,1,0,0,10,1
"180",225,"QT03","QT","67","worker","late",7,4,0,0,11,4
"181",226,"QT03","QT","39","worker","late",7,1,0,0,8,1
"182",227,"QT08","QT","57","worker","late",10,0,0,0,10,0
"183",228,"QT08","QT","22","worker","late",2,12,1,0,15,13
"184",229,"QT08","QT","19","worker","late",3,0,0,0,3,0
"185",230,"QT11","QT","80","worker","late",2,2,0,0,4,2
"186",231,"QT11","QT","71","worker","late",1,9,0,0,10,9
"187",232,"QT12","QT","77","worker","late",0,1,0,0,1,1
"188",235,"QT15","QT","57","worker","late",6,0,0,0,6,0
"189",236,"QT15","QT","66","worker","late",0,1,0,1,3,1
"190",237,"QT15","QT","24","worker","late",3,0,0,0,3,0
"191",238,"QF03","QF","59","queen","early",1,0,0,0,1,0
"192",239,"QF04","QF","54","queen","early",0,1,0,0,1,1
"193",240,"QF06","QF","66","queen","early",3,0,0,3,6,0
"194",241,"QF07","QF","57","queen","early",0,0,0,0,12,0
"195",243,"QF12","QF","35","queen","early",1,0,0,1,13,0
"196",244,"QF16","QF","62","queen","early",1,0,0,2,3,0
"197",245,"QT02","QT","85","queen","early",6,25,14,2,47,39
"198",246,"QT08","QT","78","queen","early",1,8,4,2,15,12
"199",247,"QT11","QT","95","queen","early",0,0,0,0,1,0
"200",248,"QF04","QF","54","queen","late",2,1,0,0,3,1
"201",249,"QF06","QF","66","queen","late",4,1,1,2,19,2
"202",250,"QT02","QT","85","queen","late",3,6,0,1,10,6
"203",251,"QT03","QT","8","queen","late",0,18,6,0,24,24
"204",252,"QT08","QT","78","queen","late",1,1,0,2,5,1
"205",253,"QT15","QT","81","queen","late",3,0,0,0,3,0
"206",254,"NF01","NF","9","worker","early",0,0,0,1,1,0
"207",256,"NF04","NF","40","worker","early",0,0,0,1,1,0
"208",257,"NF05","NF","83","worker","early",0,0,0,1,1,0
"209",258,"NF07","NF","4","worker","early",0,0,0,2,2,0
"210",266,"QF02","QF","12","queen","early",0,0,0,4,4,0
"211",267,"QF03","QF","unmarked","queen","early",0,0,0,4,4,0
"212",268,"QF04","QF","unmarked","queen","early",0,0,0,2,2,0
"213",270,"QF11","QF","42","worker","early",0,0,0,3,3,0
"214",271,"QF11","QF","98","queen","early",0,0,0,2,2,0
"215",272,"QF14","QF","unmarked","queen","early",0,0,0,1,1,0
"216",273,"QF15","QF","90","queen","early",0,0,0,2,2,0
"217",274,"QT01","QT","99","queen","early",0,0,0,2,2,0
"218",275,"QT03","QT","unmarked queen","queen","early",0,0,0,2,2,0
"219",277,"QT11","QT","80","queen","early",0,0,0,1,1,0
"220",278,"QT12","QT","19","queen","early",0,0,0,1,1,0
"221",283,"QT15","QT","57","queen","early",0,0,0,1,1,0
"222",286,"NF04","NF","92","worker","late",0,0,0,2,2,0
"223",288,"NT13","NT","56","worker","late",0,0,0,1,1,0
